area,description,electricity,elevator,facility,floor,fuel_gas,heating,house_code,house_type,lease,location,orientation,price,stall,tags,title,water,bedroom,living room,bathroom,district,Washing Machine,Air Conditioner,Wardrobe,Television,Refrigerator,Water Heater,Bed,Heating,Broadband,Natural Gas
82.0,,商电,1,,43,0,0,ZH1778013802118250496,1室0厅0卫,整租,横琴区-横琴-富力中心,北,4000,暂无数据,"精装,随时看房,非居住房屋",整租·富力中心 1室0厅 北,商水,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
203.0,,暂无数据,1,,2,0,0,ZH1778264491566301184,1室0厅0卫,整租,横琴区-横琴-保利国际广场,东 西,16320,暂无数据,非居住房屋,整租·保利国际广场 1室0厅 东/西,暂无数据,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
42.0,,民电,1,"洗衣机,空调,衣柜,电视,冰箱,热水器,床",45,0,0,ZH1826142032679141376,1室1厅1卫,整租,横琴区-横琴-灏怡天揽,南,4500,免费使用,精装,整租·灏怡天揽 1室1厅 南,民水,1.0,1,1,Hengqin District,1,1,1,1,1,1,1,0,0,0
69.0,,民电,1,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,天然气",29,1,0,ZH1826173826535260160,2室2厅1卫,整租,横琴区-横琴-铁建大厦,南,4800,暂无数据,精装,整租·铁建大厦 2室2厅 南,民水,2.0,2,1,Hengqin District,1,1,1,1,1,1,1,0,0,1
78.0,,商电,1,,43,0,0,ZH1778998084294934528,1室1厅0卫,整租,横琴区-横琴-富力中心,南,4680,暂无数据,非居住房屋,整租·富力中心 1室1厅 南,商水,1.0,1,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
88.0,,民电,1,,37,1,0,ZH1826141952450494464,2室2厅1卫,整租,横琴区-横琴-中交汇通横琴广场,东南,5000,暂无数据,精装,整租·中交汇通横琴广场 2室2厅 东南,民水,2.0,2,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
55.0,,商电,1,,11,0,0,ZH1825777732840062976,2室1厅1卫,整租,横琴区-横琴-横琴万象世界,东南,3000,暂无数据,"精装,非居住房屋",整租·横琴万象世界 2室1厅 东南,商水,2.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
45.0,,商电,1,,25,0,0,ZH1825760387329425408,1室1厅1卫,整租,横琴区-横琴-湾区一号,东南,2800,暂无数据,"精装,非居住房屋",整租·湾区一号 1室1厅 复式 东南,商水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
85.0,,民电,1,"洗衣机,空调,衣柜,冰箱,热水器,床,天然气",30,1,0,ZH1825744070241157120,3室2厅1卫,整租,横琴区-横琴-华发悦府,东南,5500,暂无数据,精装,整租·华发悦府 3室2厅 东南,民水,3.0,2,1,Hengqin District,1,1,1,0,1,1,1,0,0,1
128.0,,民电,1,,35,1,0,ZH1825755361823424512,4室2厅2卫,整租,横琴区-横琴-华发广场悦琴湾,南 北,8000,暂无数据,"精装,双卫生间",整租·华发广场悦琴湾 4室2厅 南/北,暂无数据,4.0,2,2,Hengqin District,0,0,0,0,0,0,0,0,0,0
15.0,,民电,0,"洗衣机,空调,衣柜,冰箱,热水器,床",7,0,0,ZH1825404320124764160,1室0厅1卫,整租,横琴区-横琴-银鑫花园,东北,1900,租用车位,"精装,随时看房",整租·银鑫花园 1室0厅 东北,民水,1.0,0,1,Hengqin District,1,1,1,0,1,1,1,0,0,0
84.0,,民电,1,,32,1,0,ZH1825425561527255040,3室2厅1卫,整租,横琴区-横琴-荔枝湾花园（北区）,南,5500,暂无数据,精装,整租·荔枝湾花园（北区） 3室2厅 南,民水,3.0,2,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
114.0,,暂无数据,0,,17,1,0,ZH1821535442600722432,4室1厅2卫,整租,横琴区-横琴-中冶逸璟公馆（二期）,南,6500,暂无数据,"精装,双卫生间,随时看房",整租·中冶逸璟公馆（二期） 4室1厅 南,暂无数据,4.0,1,2,Hengqin District,0,0,0,0,0,0,0,0,0,0
90.0,,暂无数据,1,,45,1,0,ZH1825551107032612864,3室2厅2卫,整租,横琴区-横琴-华发广场悦琴湾,南,6300,暂无数据,"精装,双卫生间,随时看房",整租·华发广场悦琴湾 3室2厅 南,暂无数据,3.0,2,2,Hengqin District,0,0,0,0,0,0,0,0,0,0
84.0,,民电,1,,32,1,0,ZH1825479515124531200,3室2厅1卫,整租,横琴区-横琴-荔枝湾花园（北区）,西南,4300,暂无数据,"精装,随时看房",整租·荔枝湾花园（北区） 3室2厅 西南,民水,3.0,2,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
90.0,,暂无数据,1,,45,1,0,ZH1825014400398917632,3室2厅2卫,整租,横琴区-横琴-华发广场悦海湾,南,5500,暂无数据,"精装,双卫生间,随时看房",整租·华发广场悦海湾 3室2厅 南,暂无数据,3.0,2,2,Hengqin District,0,0,0,0,0,0,0,0,0,0
45.0,,商电,1,,17,0,0,ZH1824781670851543040,1室1厅1卫,整租,横琴区-横琴-横琴万象世界,东南,1900,暂无数据,"精装,非居住房屋",整租·横琴万象世界 1室1厅 东南,商水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
84.0,,民电,1,,32,1,0,ZH1824772042726047744,3室2厅1卫,整租,横琴区-横琴-荔枝湾花园（南区）,南,4600,暂无数据,精装,整租·荔枝湾花园（南区） 3室2厅 南,民水,3.0,2,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
40.0,,暂无数据,1,,29,0,0,ZH1825103665053040640,1室1厅1卫,整租,横琴区-横琴-横琴万象世界,西南,2000,暂无数据,"精装,非居住房屋",整租·横琴万象世界 1室1厅 西南,暂无数据,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
40.0,,暂无数据,1,,33,0,0,ZH1825104440915394560,1室1厅1卫,整租,横琴区-横琴-横琴万象世界,西南,1800,暂无数据,"精装,非居住房屋",整租·横琴万象世界 1室1厅 西南,暂无数据,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
40.0,,暂无数据,1,,33,0,0,ZH1825105943503831040,1室1厅1卫,整租,横琴区-横琴-横琴万象世界,东南,2000,暂无数据,"精装,非居住房屋",整租·横琴万象世界 1室1厅 东南,暂无数据,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
76.0,,商电,1,,43,0,0,ZH1767130667319033856,1室1厅1卫,整租,横琴区-横琴-富力中心,东南,2000,暂无数据,"精装,非居住房屋",整租·富力中心 1室1厅 东南,商水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
55.0,,商电,1,,11,0,0,ZH1766326836595261440,2室1厅1卫,整租,横琴区-横琴-横琴万象世界,南,3000,暂无数据,"精装,非居住房屋",整租·横琴万象世界 2室1厅 南,商水,2.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
117.0,,民电,1,,30,1,0,ZH1766032849527373824,3室2厅2卫,整租,横琴区-横琴-华发悦府,南,3000,暂无数据,双卫生间,整租·华发悦府 3室2厅 南,民水,3.0,2,2,Hengqin District,0,0,0,0,0,0,0,0,0,0
45.0,,商电,1,,11,0,0,ZH1765645013972156416,1室1厅1卫,整租,横琴区-横琴-横琴万象世界,东南,2000,暂无数据,"精装,随时看房,非居住房屋",整租·横琴万象世界 1室1厅 东南,商水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
100.0,,暂无数据,0,,3,1,0,ZH1764522311525859328,1室0厅0卫,整租,横琴区-横琴-珠海市横琴华融琴海湾购物中心,北,8000,暂无数据,非居住房屋,整租·珠海市横琴华融琴海湾购物中心 1室0厅 北,暂无数据,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
88.0,,暂无数据,1,,51,1,0,ZH1763792320961970176,2室1厅1卫,整租,横琴区-横琴-信德口岸商务中心,东北,7000,暂无数据,精装,整租·信德口岸商务中心 2室1厅 东北,暂无数据,2.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
107.0,,民电,1,,29,1,0,ZH1837035082095788032,3室2厅2卫,整租,横琴区-横琴-华发首府花园一期,南,7000,暂无数据,"新上,精装,双卫生间",整租·华发首府花园一期 3室2厅 南,民水,3.0,2,2,Hengqin District,0,0,0,0,0,0,0,0,0,0
107.0,,暂无数据,1,,39,1,0,ZH1836757055898124288,3室2厅2卫,整租,横琴区-横琴-中大金融中心,东北,6000,暂无数据,"新上,精装,双卫生间",整租·中大金融中心 3室2厅 东北,暂无数据,3.0,2,2,Hengqin District,0,0,0,0,0,0,0,0,0,0
85.0,,商电,1,,27,0,0,ZH1780477755415068672,1室1厅1卫,整租,横琴区-横琴-横琴国贸大厦,西南,3600,暂无数据,精装,整租·横琴国贸大厦 1室1厅 西南,商水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
150.0,,暂无数据,1,,45,1,0,ZH1818250970992214016,4室2厅2卫,整租,横琴区-横琴-华发广场悦琴湾,东南,8000,暂无数据,"精装,双卫生间,随时看房",整租·华发广场悦琴湾 4室2厅 东南,暂无数据,4.0,2,2,Hengqin District,0,0,0,0,0,0,0,0,0,0
77.0,,暂无数据,1,,42,0,0,ZH1785274435998056448,1室0厅0卫,整租,横琴区-横琴-中大金融中心,西南,4700,暂无数据,非居住房屋,整租·中大金融中心 1室0厅 西南,暂无数据,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
860.0,,商电,1,,3,1,0,ZH1764528731419836416,1室0厅0卫,整租,横琴区-横琴-华融琴海湾,东 南 北,138000,暂无数据,非居住房屋,整租·华融琴海湾 1室0厅 东/南/北,商水,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
86.0,,商电,1,,43,0,0,ZH1765774860778209280,未知室0厅0卫,整租,横琴区-横琴-富力中心,南,7500,暂无数据,"精装,非居住房屋",整租·富力中心 0室0厅 南,商水,,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
44.0,,暂无数据,1,,44,0,0,ZH2610150993370808320,1室0厅0卫,整租,横琴区-横琴-梧桐树,南,6800,租用车位,非居住房屋,梧桐树 1室0厅 南,暂无数据,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
50.0,,民电,1,,23,1,0,ZH1823216730256703488,2室1厅1卫,整租,横琴区-横琴-湾区一号,南,2900,暂无数据,"精装,随时看房",整租·湾区一号 2室1厅 南,民水,2.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
42.0,,暂无数据,1,,44,0,0,ZH2600763606983245824,1室0厅0卫,整租,横琴区-横琴-梧桐树,东南,11760,暂无数据,非居住房屋,梧桐树 1室0厅 东南,暂无数据,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
36.0,,民电,1,,23,1,0,ZH1829456410786660352,1室1厅1卫,整租,横琴区-横琴-湾区一号,东 南,2500,暂无数据,精装,整租·湾区一号 1室1厅 东/南,民水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
129.0,,暂无数据,1,"洗衣机,空调,衣柜,冰箱,热水器,床,天然气",35,1,0,ZH1808813523573145600,4室2厅2卫,整租,横琴区-横琴-华发广场悦琴湾,南 北,6500,租用车位,"精装,双卫生间,随时看房",整租·华发广场悦琴湾 4室2厅 南/北,暂无数据,4.0,2,2,Hengqin District,1,1,1,0,1,1,1,0,0,1
45.0,,暂无数据,1,,35,0,0,ZH1828021621202354176,1室1厅1卫,整租,横琴区-横琴-三一南方总部大厦,南,3800,暂无数据,"精装,随时看房,非居住房屋",整租·三一南方总部大厦 1室1厅 南,暂无数据,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
76.0,,商电,1,,19,0,0,ZH1611585716939128832,1室1厅0卫,整租,横琴区-横琴-保利国际广场,东,4560,暂无数据,非居住房屋,整租·保利国际广场 1室1厅 东,商水,1.0,1,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
80.0,,暂无数据,1,,19,0,0,ZH2734095614420713472,1室0厅1卫,整租,横琴区-横琴-保利国际广场,南,4400,租用车位,精装,整租·保利国际广场 1室0厅 南,暂无数据,1.0,0,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
90.0,,民电,1,"洗衣机,空调,衣柜,电视,冰箱,热水器,床",29,1,0,ZH1804390588477341696,3室2厅1卫,整租,横琴区-横琴-铁建大厦,东南,4500,暂无数据,精装,整租·铁建大厦 3室2厅 东南,民水,3.0,2,1,Hengqin District,1,1,1,1,1,1,1,0,0,0
79.0,,暂无数据,0,,31,1,0,ZH1837000064459866112,3室2厅1卫,整租,横琴区-横琴-横琴湾三期,北,5000,暂无数据,"新上,精装",整租·横琴湾三期 3室2厅 北,暂无数据,3.0,2,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
40.0,,暂无数据,1,"洗衣机,空调,冰箱,热水器,暖气,宽带",29,0,0,ZH1696891915670126592,1室0厅1卫,整租,横琴区-横琴-横琴万象世界,南,2000,租用车位,"精装,随时看房,非居住房屋",整租·横琴万象世界 1室0厅 南,暂无数据,1.0,0,1,Hengqin District,1,1,0,0,1,1,0,1,1,0
40.0,,暂无数据,1,"洗衣机,空调,冰箱,热水器,暖气,宽带",29,0,0,ZH1696892434161598464,1室0厅1卫,整租,横琴区-横琴-横琴万象世界,南,2000,租用车位,"精装,随时看房,非居住房屋",整租·横琴万象世界 1室0厅 南,暂无数据,1.0,0,1,Hengqin District,1,1,0,0,1,1,0,1,1,0
115.0,,商电,1,,19,0,0,ZH1683437515492556800,1室1厅1卫,整租,横琴区-横琴-保利国际广场,南,5750,暂无数据,"精装,非居住房屋",整租·保利国际广场 1室1厅 南,商水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
149.0,,商电,1,,19,0,0,ZH1803775955471171584,1室0厅0卫,整租,横琴区-横琴-保利国际广场,东南,11974,暂无数据,非居住房屋,整租·保利国际广场 1室0厅 东南,商水,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
104.0,,商电,1,,19,0,0,ZH1803778618933903360,1室0厅0卫,整租,横琴区-横琴-保利国际广场,东南,8300,暂无数据,非居住房屋,整租·保利国际广场 1室0厅 东南,商水,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
50.0,,暂无数据,1,"空调,衣柜,床",29,1,0,ZH1803649397813149696,1室1厅1卫,整租,横琴区-横琴-新兴际华财富广场,南,2500,暂无数据,精装,整租·新兴际华财富广场 1室1厅 南,暂无数据,1.0,1,1,Hengqin District,0,1,1,0,0,0,1,0,0,0
42.0,,民电,1,,30,0,0,ZH1802919734153314304,1室1厅1卫,整租,横琴区-横琴-三一南方总部大厦,西南,3700,暂无数据,精装,整租·三一南方总部大厦 1室1厅 西南,民水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
85.0,,民电,1,,26,1,0,ZH1803640208457990144,1室1厅1卫,整租,横琴区-横琴-横琴金融传媒中心,东北,3600,暂无数据,精装,整租·横琴金融传媒中心 1室1厅 东北,民水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
70.0,,商电,1,,16,0,0,ZH1802943712712458240,1室1厅1卫,整租,横琴区-横琴-璞醍海,东南,2700,暂无数据,"精装,非居住房屋",整租·璞醍海 1室1厅 东南,商水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
89.0,,民电,1,,29,1,0,ZH1682382033076092928,3室2厅1卫,整租,横琴区-横琴-铁建大厦,东南,4000,暂无数据,"精装,随时看房",整租·铁建大厦 3室2厅 东南,民水,3.0,2,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
45.0,,商电,1,,11,0,0,ZH1690246313418948608,1室1厅1卫,整租,横琴区-横琴-紫檀文化中心,南,2500,暂无数据,"精装,非居住房屋",整租·紫檀文化中心 1室1厅 南,商水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
36.0,,暂无数据,0,,2,0,0,ZH1689854707964575744,1室0厅0卫,整租,横琴区-横琴-横琴万象世界,西南,3500,暂无数据,非居住房屋,整租·横琴万象世界 1室0厅 西南,暂无数据,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
93.0,【户型介绍】格局方正，客厅宽敞明亮，居住舒适！小区配套商场、写字楼等配套【周边配套】适合在横琴、湾仔、报税区及澳门工作和生活的人群，周边有公交车站、商场、酒店等配套，生活方便！【小区介绍】十里花海长廊、轻轨站绿地公园！小区治安严格管理，实行出入刷卡！,暂无数据,0,,32,0,0,ZH1687030437295161344,3室2厅2卫,整租,横琴区-横琴-中大金融中心,南,4500,租用车位,"精装,双卫生间",整租·中大金融中心 3室2厅 南,暂无数据,3.0,2,2,Hengqin District,0,0,0,0,0,0,0,0,0,0
78.0,,民电,1,"空调,热水器",26,1,0,ZH1687428470046457856,1室1厅1卫,整租,横琴区-横琴-横琴金融传媒中心,南,3600,暂无数据,精装,整租·横琴金融传媒中心 1室1厅 南,民水,1.0,1,1,Hengqin District,0,1,0,0,0,1,0,0,0,0
36.0,,民电,1,,23,1,0,ZH1801894825163751424,1室0厅1卫,整租,横琴区-横琴-湾区一号,南 北,2500,暂无数据,精装,整租·湾区一号 1室0厅 南/北,民水,1.0,0,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
85.0,,民电,1,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带,天然气",32,1,0,ZH2869681703801061376,3室2厅1卫,整租,横琴区-横琴-荔枝湾花园（南区）,东南,5500,租用车位,精装,整租·荔枝湾花园（南区） 3室2厅 东南,民水,3.0,2,1,Hengqin District,1,1,1,1,1,1,1,1,1,1
160.0,,暂无数据,1,,46,1,0,ZH2862478902172065792,1室1厅0卫,整租,横琴区-横琴-铁建大厦,东,8200,暂无数据,"精装,非居住房屋",整租·铁建大厦 1室1厅 东,暂无数据,1.0,1,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
85.0,,民电,1,,11,1,0,ZH2851579521470308352,4室2厅3卫,整租,横琴区-横琴-荔枝湾花园（南区）,东南 南,6800,暂无数据,精装,整租·荔枝湾花园（南区） 4室2厅 东南/南,民水,4.0,2,3,Hengqin District,0,0,0,0,0,0,0,0,0,0
129.0,,暂无数据,0,,5,0,0,ZH1689256835657236480,1室0厅0卫,整租,横琴区-横琴-富力中心,东,4515,暂无数据,非居住房屋,整租·富力中心 1室0厅 东,暂无数据,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
182.0,,商电,1,,19,0,0,ZH2847702474649763840,1室0厅0卫,整租,横琴区-横琴-保利国际广场,南,14623,暂无数据,非居住房屋,整租·保利国际广场 1室0厅 南,商水,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
81.0,,暂无数据,1,,19,0,0,ZH2836906828682493952,1室1厅0卫,整租,横琴区-横琴-保利国际广场,北,6400,暂无数据,精装,整租·保利国际广场 1室1厅 北,暂无数据,1.0,1,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
171.0,,商电,1,空调,19,0,0,ZH2833352969352134656,2室3厅0卫,整租,横琴区-横琴-保利国际广场,南 北,6000,暂无数据,"精装,非居住房屋",整租·保利国际广场 2室3厅 南/北,商水,2.0,3,0,Hengqin District,0,1,0,0,0,0,0,0,0,0
86.0,,商电,1,空调,43,0,0,ZH2820256421290188800,1室0厅0卫,整租,横琴区-横琴-富力中心,东南,4500,暂无数据,非居住房屋,整租·富力中心 1室0厅 东南,商水,1.0,0,0,Hengqin District,0,1,0,0,0,0,0,0,0,0
151.0,,商电,1,,36,0,0,ZH2829683337826664448,1室0厅0卫,整租,横琴区-横琴-梧桐树,东南,6000,租用车位,"随时看房,非居住房屋",整租·梧桐树 1室0厅 东南,商水,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
83.0,,民电,1,"洗衣机,空调,衣柜,电视,冰箱,热水器,床",26,1,0,ZH2829727265821573120,2室1厅1卫,整租,横琴区-横琴-横琴金融传媒中心,东南,5000,租用车位,"精装,随时看房",整租·横琴金融传媒中心 2室1厅 东南,民水,2.0,1,1,Hengqin District,1,1,1,1,1,1,1,0,0,0
265.0,,商电,1,,36,0,0,ZH2817388367287951360,1室0厅1卫,整租,横琴区-横琴-梧桐树,东,22000,暂无数据,"精装,随时看房,非居住房屋",整租·梧桐树 1室0厅 东,商水,1.0,0,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
11.0,,暂无数据,1,,32,1,0,ZH2816020732571041792,1室0厅0卫,整租,横琴区-横琴-华融琴海湾,东,500,租用车位,非居住房屋,整租·华融琴海湾 1室0厅 东,暂无数据,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
82.0,,商电,1,,43,0,0,ZH2814299739745419264,1室0厅0卫,整租,横琴区-横琴-富力中心,南,4100,暂无数据,"精装,非居住房屋",整租·富力中心 1室0厅 南,商水,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
11.0,,暂无数据,0,,2,1,0,ZH2808560540623052800,1室0厅0卫,整租,横琴区-横琴-华融琴海湾,东,500,租用车位,"精装,非居住房屋",整租·华融琴海湾 1室0厅 东,暂无数据,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
167.0,,商电,1,空调,19,0,0,ZH2823246370885353472,未知室0厅0卫,整租,横琴区-横琴-保利国际广场,北,5000,租用车位,"精装,非居住房屋",整租·保利国际广场 0室0厅 北,商水,,0,0,Hengqin District,0,1,0,0,0,0,0,0,0,0
80.0,,商电,1,,26,0,0,ZH2796188677586288640,1室0厅0卫,整租,横琴区-横琴-华策国际大厦,南,6500,暂无数据,非居住房屋,整租·华策国际大厦 1室0厅 南,商水,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
82.0,,民电,1,"洗衣机,空调,冰箱",26,1,0,ZH2795504864694632448,1室1厅1卫,整租,横琴区-横琴-横琴金融传媒中心,南,5500,租用车位,精装,整租·横琴金融传媒中心 1室1厅 南,民水,1.0,1,1,Hengqin District,1,1,0,0,1,0,0,0,0,0
79.0,,暂无数据,1,,19,0,0,ZH2784061786113458176,1室0厅0卫,整租,横琴区-横琴-保利国际广场,东,6000,暂无数据,非居住房屋,整租·保利国际广场 1室0厅 东,暂无数据,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
80.0,,暂无数据,1,,42,0,0,ZH2789845754431414272,1室1厅0卫,整租,横琴区-横琴-中大金融中心,南,4000,暂无数据,"精装,非居住房屋",整租·中大金融中心 1室1厅 南,暂无数据,1.0,1,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
94.0,,民电,1,空调,26,1,0,ZH2740526529057390592,2室1厅1卫,整租,横琴区-横琴-横琴金融传媒中心,南,4500,暂无数据,精装,整租·横琴金融传媒中心 2室1厅 南,民水,2.0,1,1,Hengqin District,0,1,0,0,0,0,0,0,0,0
87.0,,商电,1,,19,0,0,ZH2779675986307063808,1室0厅0卫,整租,横琴区-横琴-保利国际广场,东,5220,租用车位,非居住房屋,整租·保利国际广场 1室0厅 东,商水,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
